acc,gc,gc3,TAA_1_a3,TAA_1_a6,TAA_1_t3,TAA_1_t6,TAG_1_a3,TAG_1_a6,TAG_1_t3,TAG_1_t6
AE000657,0.4374537466830877,0.4802906812007267,0.7929515418502202,0.3986784140969163,0.20704845814977973,0.6013215859030837,0.6715481171548117,0.17573221757322174,0.3284518828451883,0.8242677824267782
AE009951,0.27451808754024676,0.1226116981990545,0.5297397769516728,0.3543990086741016,0.47026022304832715,0.6456009913258984,0.3457142857142857,0.4114285714285714,0.6542857142857142,0.5885714285714285
AE017262,0.3858917127693095,0.30149373009437175,0.12285012285012285,0.09664209664209664,0.8771498771498771,0.9033579033579033,0.29701686121919585,0.3229571984435798,0.7029831387808041,0.6770428015564203
AM420293,0.7176775405666175,0.9260063117367836,0,0,0,0,0.2413793103448276,0.20689655172413793,0.7586206896551724,0.7931034482758621
AP009179,0.44808740322169555,0.48460705152413647,0.2155688622754491,0.344311377245509,0.7844311377245509,0.655688622754491,0.3900709219858156,0.5531914893617021,0.6099290780141844,0.44680851063829785
AP012051,0.35579593141263244,0.27256713086353945,0.4785276073619632,0.2687116564417178,0.5214723926380368,0.7312883435582822,0.2905811623246493,0.3166332665330661,0.7094188376753507,0.6833667334669339
AP012551,0.5835487870551694,0.6940952661509071,0.09446254071661238,0.06840390879478828,0.9055374592833876,0.9315960912052117,0.28421052631578947,0.3894736842105263,0.7157894736842105,0.6105263157894737
BX571656,0.4899770043712959,0.5514875606199807,0.12380952380952381,0.11428571428571428,0.8761904761904762,0.8857142857142857,0.21666666666666667,0.15,0.7833333333333333,0.85
CP000141,0.42478541301885087,0.404277055670392,0.41751990898748575,0.13765642775881684,0.5824800910125142,0.8623435722411832,0.5678294573643411,0.2693798449612403,0.4321705426356589,0.7306201550387597
CP000284,0.5665751392743068,0.6730540338154731,0.046296296296296294,0.10185185185185185,0.9537037037037037,0.8981481481481481,0.3523809523809524,0.6095238095238096,0.6476190476190476,0.3904761904761905
CP000474,0.6287107979479573,0.7542904414417698,0.2692307692307692,0.057692307692307696,0.7307692307692307,0.9423076923076923,0.3389830508474576,0.21016949152542372,0.6610169491525424,0.7898305084745763
CP000724,0.3750533323999396,0.31351658703293744,0.1788300835654596,0.366016713091922,0.8211699164345404,0.633983286908078,0.2339930151338766,0.4470314318975553,0.7660069848661234,0.5529685681024447
CP000909,0.5722032627110307,0.6068130816530123,0.05070422535211268,0.05352112676056338,0.9492957746478873,0.9464788732394366,0.2675,0.48,0.7325,0.52
CP001108,0.509298873617838,0.5514212261258105,0.09967845659163987,0.10289389067524116,0.9003215434083601,0.8971061093247589,0.06666666666666667,0.20333333333333334,0.9333333333333333,0.7966666666666666
CP001472,0.6120668343052386,0.7425864780737043,0.08602150537634409,0.03225806451612903,0.9139784946236559,0.967741935483871,0.2777777777777778,0.21428571428571427,0.7222222222222222,0.7857142857142857
CP001683,0.6787215180505008,0.8538920193892875,0.0,0.0,1.0,1.0,0.4090909090909091,0.36363636363636365,0.5909090909090909,0.6363636363636364
CP001778,0.6878046177266195,0.8888702365334307,0.2857142857142857,0.21428571428571427,0.7142857142857143,0.7857142857142857,0.35,0.425,0.65,0.575
CP001874,0.7260230575336428,0.9540019169825659,0.75,0.25,0.25,0.75,0.3,0.4,0.7,0.6
CP002045,0.5378218284884533,0.5532249735227441,0.11737089201877934,0.06103286384976526,0.8826291079812206,0.9389671361502347,0.16145833333333334,0.21614583333333334,0.8385416666666666,0.7838541666666666
CP002281,0.3546489342199557,0.2791558489854586,0.5746812386156649,0.4872495446265938,0.42531876138433516,0.5127504553734062,0.4675324675324675,0.44155844155844154,0.5324675324675324,0.5584415584415584
